form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00571323,SB21B.8244,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-26,6.95,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8263,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-27,16.96,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8264,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-27,3.00,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8265,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-31,15.96,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8266,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-11-01,28.08,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8267,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-11-01,4.21,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8268,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-11-03,22.30,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8269,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-11-03,22.21,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8270,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-11-03,53.64,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8271,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-11-03,4.44,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8272,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-11-03,63.06,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8273,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-11-07,10.45,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8274,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-11-07,9.45,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
